tickers,probability
A,0.47058823529411764
AA,0.5384615384615384
AAL,0.6666666666666666
AAN,0.25
AAON,0.5333333333333333
AAP,0.5454545454545454
AAPL,0.6666666666666666
ABBV,0.4666666666666667
ABCB,0.4166666666666667
ABCL,0.5625
ABEV,0.4
ABG,0.42857142857142855
ABM,0.6428571428571429
ABNB,0.4666666666666667
ABR,0.5555555555555556
ABT,0.36363636363636365
ABUS,0.5625
ACA,0.6666666666666666
ACB,0.42857142857142855
ACCD,0.55
ACCO,0.5333333333333333
ACEL,0.4117647058823529
ACGL,0.5384615384615384
ACHC,0.4666666666666667
ACI,0.46153846153846156
ACIW,0.6666666666666666
ACLS,0.4375
ACM,0.6
ACMR,0.55
ACN,0.4444444444444444
ACRE,0.5714285714285714
ACRS,0.4
ACTG,0.3
ADBE,0.5
ADCT,0.5384615384615384
ADI,0.38095238095238093
ADMA,0.75
ADNT,0.1875
ADSK,0.35294117647058826
ADT,0.5
ADTN,0.6666666666666666
ADV,0.5
AEHR,0.3076923076923077
AEIS,0.3157894736842105
AEL,0.3684210526315789
AEP,0.5
AER,0.36363636363636365
AES,0.42105263157894735
AFG,0.4117647058823529
AFL,0.6
AFMD,0.6666666666666666
AG,0.5833333333333334
AGCO,0.5
AGEN,0.5384615384615384
AGNC,0.5555555555555556
AGO,0.29411764705882354
AGRO,0.4666666666666667
AGYS,0.5
AHCO,0.6153846153846154
AHH,0.23076923076923078
AHT,0.7142857142857143
AI,0.5454545454545454
AIG,0.47058823529411764
AIN,0.3333333333333333
AIR,0.4117647058823529
AIT,0.5294117647058824
AIV,0.625
AIZ,0.75
AJG,0.5333333333333333
AKAM,0.6875
AKTS,0.35714285714285715
AL,0.6363636363636364
ALB,0.9
ALC,0.38095238095238093
ALDX,0.3333333333333333
ALE,0.35294117647058826
ALEC,0.3333333333333333
ALEX,0.36363636363636365
ALGM,0.8888888888888888
ALGN,0.6470588235294118
ALGT,0.6923076923076923
ALK,0.47368421052631576
ALKS,0.21052631578947367
ALL,0.5
ALLE,0.35714285714285715
ALLK,0.2777777777777778
ALLO,0.4
ALLY,0.5
ALRM,0.3125
ALSN,0.5333333333333333
ALT,0.6363636363636364
ALTR,0.4
ALV,0.7142857142857143
ALVR,0.5
AM,0.4117647058823529
AMBA,0.4166666666666667
AMBC,0.23529411764705882
AMC,0.8666666666666667
AMCR,0.4
AMCX,0.2631578947368421
AMD,0.35294117647058826
AME,0.2777777777777778
AMED,0.375
AMGN,0.6666666666666666
AMH,0.42857142857142855
AMKR,0.3684210526315789
AMN,0.4666666666666667
AMP,0.6153846153846154
AMPH,0.5
AMPY,0.7777777777777778
AMRC,0.3333333333333333
AMRN,0.3684210526315789
AMRX,0.4
AMSC,0.3333333333333333
AMT,0.3125
AMTX,0.6153846153846154
AMWL,0.21052631578947367
AMX,0.6111111111111112
AMZN,0.6
AN,0.4090909090909091
ANAB,0.5714285714285714
ANDE,0.47619047619047616
ANET,0.5882352941176471
ANF,0.45454545454545453
ANGI,0.7857142857142857
ANGO,0.375
ANSS,0.5
AON,0.6923076923076923
AOS,0.5625
APA,0.8
APAM,0.4117647058823529
APD,0.2777777777777778
APG,0.375
APH,0.4444444444444444
API,0.4090909090909091
APLE,0.4666666666666667
APOG,0.5454545454545454
APPF,0.18181818181818182
APPN,0.6153846153846154
APPS,0.4375
APTV,0.5294117647058824
AQN,0.5454545454545454
AR,0.5
ARAY,0.6923076923076923
ARCB,0.4166666666666667
ARCC,0.7142857142857143
ARCH,0.47058823529411764
ARCO,0.6153846153846154
ARCT,0.75
ARE,0.5714285714285714
AREC,0.4666666666666667
ARES,0.17647058823529413
ARI,0.35714285714285715
ARLO,0.30434782608695654
ARMK,0.5294117647058824
AROC,0.3333333333333333
ARQT,0.6428571428571429
ARR,0.5384615384615384
ARRY,0.5384615384615384
ARVN,0.75
ARW,0.5
ARWR,0.42105263157894735
ASAN,0.29411764705882354
ASB,0.3888888888888889
ASGN,0.5333333333333333
ASIX,0.875
ASO,0.6
ASPN,0.6666666666666666
ASRT,0.4
ASTE,0.38461538461538464
ATEC,0.4
ATEN,0.6363636363636364
ATGE,0.42105263157894735
ATHA,0.2857142857142857
ATHM,0.2222222222222222
ATI,0.6666666666666666
ATKR,0.4666666666666667
ATO,0.4117647058823529
ATOM,0.1
ATOS,0.4
ATR,0.3333333333333333
ATRA,0.6428571428571429
ATRC,0.7142857142857143
ATSG,0.2631578947368421
ATUS,0.8181818181818182
AU,0.6666666666666666
AUPH,0.15789473684210525
AVA,0.5217391304347826
AVAV,0.5333333333333333
AVB,0.38095238095238093
AVD,0.4
AVGO,0.5
AVIR,0.375
AVNT,0.6363636363636364
AVT,0.42857142857142855
AVTR,0.5
AVY,0.6666666666666666
AWI,0.2777777777777778
AWK,0.5625
AWR,0.47058823529411764
AX,0.5
AXNX,0.5714285714285714
AXP,0.5
AXS,0.5714285714285714
AXSM,0.7272727272727273
AXTA,0.5384615384615384
AXTI,0.5714285714285714
AY,0.4375
AYI,0.47058823529411764
AZEK,0.3888888888888889
AZO,0.6
AZPN,0.2222222222222222
AZUL,0.75
AZZ,0.5294117647058824
B,0.7692307692307693
BA,0.5
BABA,0.47058823529411764
BAC,0.5
BAH,0.8
BAK,0.5555555555555556
BALY,0.42105263157894735
BAND,0.5714285714285714
BANR,0.4444444444444444
BAP,0.4375
BAX,0.3157894736842105
BB,0.5789473684210527
BBAR,0.2222222222222222
BBIO,0.35294117647058826
BBW,0.5
BBY,0.5
BC,0.47368421052631576
BCAT,0.6666666666666666
BCC,0.5882352941176471
BCO,0.375
BCRX,0.3
BCSF,0.3333333333333333
BDC,0.6923076923076923
BDN,0.8
BDX,0.375
BE,0.5882352941176471
BEAM,0.8
BEEM,0.3333333333333333
BEKE,0.5789473684210527
BEN,0.5714285714285714
BEP,0.8888888888888888
BERY,0.375
BFAM,0.3157894736842105
BG,0.5555555555555556
BGFV,0.391304347826087
BGS,0.2
BHE,0.8461538461538461
BHF,0.5833333333333334
BHLB,0.47058823529411764
BHP,0.2777777777777778
BIDU,0.4375
BIG,0.5625
BIGC,0.4166666666666667
BILI,0.6
BILL,0.4444444444444444
BJ,0.42857142857142855
BJRI,0.8181818181818182
BK,0.4666666666666667
BKCC,0.5
BKD,0.5625
BKE,0.375
BKH,0.35714285714285715
BKNG,0.4666666666666667
BKR,0.35714285714285715
BKU,0.38095238095238093
BL,0.75
BLBD,0.5294117647058824
BLD,0.5625
BLDP,0.4
BLDR,0.7
BLK,0.13333333333333333
BLKB,0.5555555555555556
BLMN,0.42857142857142855
BLNK,0.5714285714285714
BMA,0.3684210526315789
BMRN,1.0
BMY,0.5833333333333334
BNED,0.5625
BNGO,0.38461538461538464
BNL,0.6923076923076923
BNTX,0.4
BOH,0.3076923076923077
BOKF,0.6
BOOT,0.6
BOX,0.4375
BPMC,0.375
BPOP,0.42857142857142855
BRBR,0.35714285714285715
BRC,0.5
BRFS,0.5
BRKL,0.35
BRKR,0.4
BRO,0.5333333333333333
BRP,0.47058823529411764
BRY,0.5882352941176471
BSAC,0.21739130434782608
BSBR,0.47058823529411764
BSIG,0.5294117647058824
BSX,0.42857142857142855
BSY,0.29411764705882354
BTAI,0.7
BTG,0.42857142857142855
BTU,0.6363636363636364
BUD,0.5
BURL,0.18181818181818182
BUSE,0.6923076923076923
BV,0.8
BVN,0.4444444444444444
BW,0.4666666666666667
BWA,0.5789473684210527
BWXT,0.25
BXC,0.5263157894736842
BXP,0.09523809523809523
BYD,0.5333333333333333
BYND,0.5454545454545454
BZH,0.6363636363636364
CACI,0.6
CADE,0.6363636363636364
CAG,0.5333333333333333
CAH,0.29411764705882354
CAKE,0.4375
CAL,0.5454545454545454
CALM,0.6111111111111112
CALX,0.6
CAN,0.47058823529411764
CAR,0.45
CARG,0.34615384615384615
CARR,0.46153846153846156
CARS,0.3684210526315789
CASH,0.2857142857142857
CASY,0.5625
CAT,0.3
CATY,0.5625
CB,0.375
CBD,0.4
CBOE,0.36363636363636365
CBRE,0.5833333333333334
CBRL,0.47058823529411764
CBSH,0.3076923076923077
CBT,0.5714285714285714
CBU,0.7692307692307693
CC,0.3157894736842105
CCEP,0.4
CCI,0.8333333333333334
CCK,0.42105263157894735
CCL,0.3181818181818182
CCO,0.5
CCOI,0.625
CCRN,0.4666666666666667
CCS,0.6428571428571429
CCU,0.6153846153846154
CDE,0.5
CDLX,0.5
CDMO,0.375
CDNA,0.6153846153846154
CDNS,0.6
CDW,0.5714285714285714
CDXS,0.29411764705882354
CDZI,0.26666666666666666
CE,0.42105263157894735
CEIX,0.2
CELH,0.6363636363636364
CENTA,0.47058823529411764
CENX,0.5714285714285714
CERE,0.3125
CERS,0.5294117647058824
CERT,0.4642857142857143
CEVA,0.3333333333333333
CF,0.5454545454545454
CFFN,0.3333333333333333
CFR,0.4
CG,0.2631578947368421
CGBD,0.7272727272727273
CGNX,0.46153846153846156
CHD,0.6428571428571429
CHDN,0.5714285714285714
CHEF,0.4666666666666667
CHGG,0.5625
CHH,0.3157894736842105
CHKP,0.4117647058823529
CHMI,0.3888888888888889
CHRS,0.25
CHRW,0.4375
CHT,0.6666666666666666
CHTR,0.2
CHWY,0.23809523809523808
CHX,0.23809523809523808
CI,0.6363636363636364
CIEN,0.6363636363636364
CIG,0.5454545454545454
CIM,0.5
CINF,0.4117647058823529
CL,0.3684210526315789
CLB,0.4666666666666667
CLDT,0.6
CLDX,0.4
CLF,0.6470588235294118
CLFD,0.3125
CLH,0.6
CLNE,0.6666666666666666
CLSK,0.5333333333333333
CLW,0.5555555555555556
CLX,0.5
CMA,0.5
CMC,0.35
CMCSA,0.45454545454545453
CMG,0.4117647058823529
CMI,0.375
CMP,0.25
CMPR,0.5
CMPS,0.4666666666666667
CMRE,0.375
CMRX,0.3333333333333333
CMS,0.6666666666666666
CMTL,0.45
CNA,0.5454545454545454
CNC,0.35
CNDT,0.6153846153846154
CNK,0.4666666666666667
CNMD,0.4166666666666667
CNNE,0.7272727272727273
CNO,0.6666666666666666
CNOB,0.4666666666666667
CNS,0.625
CNSL,0.5333333333333333
CNXC,0.6363636363636364
COF,0.25
COGT,0.4375
COHU,0.6428571428571429
COLB,0.5454545454545454
COLD,0.5454545454545454
COLL,0.4444444444444444
COLM,0.2857142857142857
COO,0.2631578947368421
COOP,0.35294117647058826
COP,0.4444444444444444
CORT,0.5714285714285714
COST,0.4666666666666667
COTY,0.6666666666666666
CPF,0.4444444444444444
CPRI,0.5333333333333333
CPRT,0.5
CPS,0.38461538461538464
CPT,0.45454545454545453
CRC,0.42857142857142855
CRDF,0.5294117647058824
CRI,0.6111111111111112
CRK,0.3
CRL,0.5
CRM,0.35714285714285715
CRMD,0.5
CRNC,0.5333333333333333
CRNX,0.42857142857142855
CROX,0.5789473684210527
CRS,0.2857142857142857
